8833657	14520693
8833657	9322955
8833657	12525256
8833657	11262195
8833657	8188767
12019176	10232609
12019176	11102895
12019176	10851068
12019176	12168088
12019176	12581018
11005099	11260861
11005099	12530085
11005099	10917054
11005099	9231155
11005099	9591538
12890810	10611187
12890810	7593132
12890810	11223541
12890810	11020056
12890810	11102895
8626706	8675593
8626706	8646598
8626706	10545285
8626706	8188767
8626706	10974650
12414625	11704861
12414625	9815941
12414625	14534541
12414625	12960057
12414625	12776186
12188907	9831246
12188907	12556535
12188907	14528284
12188907	12360481
12188907	12379772
7624149	7959292
7624149	7959284
7624149	7977648
7624149	12112314
7624149	7509629
9815544	8609661
9815544	7525978
9815544	9842972
9815544	12150454
9815544	14534541
7529048	8732665
7529048	7529049
7529048	11774034
7529048	10232609
7529048	11223541
9545345	10674396
9545345	10816436
9545345	9852124
9545345	11559546
9545345	9832424
11500939	11559546
11500939	10207053
11500939	12138094
11500939	11594774
11500939	11274216
12767520	10699960
12767520	9883987
12767520	11704861
12767520	8626686
12767520	11498020
9699666	11559546
9699666	10766344
9699666	11704861
9699666	9056422
9699666	10642432
10669726	11546773
10669726	9545345
10669726	10674396
10669726	10847581
10669726	9852124
9342439	9342440
9342439	9488037
9342439	11879554
9342439	10430101
9342439	12897145
11376126	10967123
11376126	12867429
11376126	11559546
11376126	10602507
11376126	11337496
14534541	10319328
14534541	11489838
14534541	9545345
14534541	10077005
14534541	11479214
11788654	10229198
11788654	11376121
11788654	10207053
11788654	12447687
11788654	12138094
12746329	11713209
12746329	10846175
12746329	9633824
12746329	11278691
12746329	12447687
12566306	11559546
12566306	9205064
12566306	11149601
12566306	9545345
12566306	12776186
9515800	11872675
9515800	11559546
9515800	9545345
9515800	7788852
9515800	7665217
10720068	9821177
10720068	11334418
10720068	10484052
10720068	11287353
10720068	9166674
10435587	10757056
10435587	9205049
10435587	8692980
10435587	11689295
10435587	11870540
12489029	12360481
12489029	8674059
12489029	14559833
12489029	12068000
12489029	12138094
12031683	11368881
12031683	11342260
12031683	10383152
12031683	7589243
12031683	10726973
8665514	11145562
8665514	9492043
8665514	12444079
8665514	8710868
8665514	12750288
12379772	12374697
12379772	12937141
12379772	10690548
12379772	10777488
12379772	8909524
10766344	11950959
10766344	11896447
10766344	8692980
10766344	10676665
10766344	11559546
8145772	8923458
8145772	9671232
8145772	11559546
8145772	8828463
8145772	9205064
8710868	12444079
8710868	8873895
8710868	10720440
8710868	8175666
8710868	7791758
12641820	11081412
12641820	7593132
12641820	11161964
12641820	9640416
12641820	9387030
12105987	12566306
12105987	11923875
12105987	11494131
12105987	12489029
12105987	12876069
10851068	11212254
10851068	12019176
10851068	11145562
10851068	11278691
10851068	11313980
9056422	9205064
9056422	9815941
9056422	11559546
9056422	11479214
9056422	9311601
11988840	12937141
11988840	12545153
11988840	12482909
11988840	12754739
11988840	12855680
12447687	12138094
12447687	11500939
12447687	10207053
12447687	11788654
12447687	12888657
11577168	12767520
11577168	12917202
11577168	12417786
11577168	12466336
11577168	10234899
8595162	9553667
8595162	8616829
8595162	10619489
8595162	8616830
8595162	11457860
11885994	12195157
11885994	10830573
11885994	10849571
11885994	9413957
11885994	11223541
8607861	9766646
8607861	11205897
8607861	9815813
8607861	11291931
8607861	9333017
10919668	11071655
10919668	11559546
10919668	12538620
10919668	11023522
10919668	11416032
9815941	9056422
9815941	9205064
9815941	11559546
9815941	9311601
9815941	11479214
10791772	11559546
10791772	9516080
10791772	11102895
10791772	11479214
10791772	10319328
9516080	11559546
9516080	9056422
9516080	10791772
9516080	11102895
9516080	12438247
11149601	11559546
11149601	9545345
